Ia,Ib,VDC,IDC,T1,T2,T3,VD,FDD,Timestamp,Ia_original,Ia_arduino,Ib_original,Ib_arduino,IDC_original,IDC_arduino,Power_DC,Power_AC,Current_Imbalance,Temp_Diff_Max,Ia_Normalized,Ib_Normalized,VDC_RateOfChange,IDC_RateOfChange,VDC_MovingAvg,IDC_MovingAvg
532.0,388.0,-21.994134897360684,506.0,10.577241530953813,11.48395053950884,12.229922292899289,-7.331378299120228,F0,0.0,1.0019550342130978,1.48,-6.036168132942326,-9.176,-0.26881720430107503,-0.44399999999999995,9.765395894428142,56.422287390029275,-2.7692307692307696,1.6526807619454758,-3.3333333333333335,20.666666666666668,,,,
533.0,388.0,-21.994134897360684,508.0,11.732167610063925,11.48395053950884,12.646150603106662,-7.331378299120228,F0,0.1,1.050830889540566,1.5539999999999998,-6.036168132942326,-9.176,-0.17106549364613866,-0.296,6.5102639296187625,55.87976539589438,-2.8155339805825244,1.1622000635978225,-5.25,31.000000000000004,0.0,1.4799999999999995,,
533.0,389.0,-21.994134897360684,507.0,10.659461969337144,11.401304818190908,12.229922292899289,-17.106549364613866,F0,0.2,1.050830889540566,1.5539999999999998,-5.987292277614857,-9.102,-0.21994134897360684,-0.37,8.137829912023452,129.12023460410546,-2.823529411764706,1.5704603235621448,-4.199999999999999,24.6,0.0,-0.7400000000000001,,
534.0,390.0,-21.994134897360684,507.0,11.566642462507161,11.48395053950884,12.479496778224984,-12.218963831867047,F0,0.30000000000000004,1.0997067448680342,1.628,-5.938416422287389,-9.027999999999999,-0.21994134897360684,-0.37,8.137829912023452,90.42033235581613,-2.8800000000000003,0.9955462387161447,-4.3999999999999995,24.399999999999995,0.0,0.0,,
532.0,390.0,-17.106549364613866,505.0,10.577241530953813,11.153638149764788,12.229922292899289,-7.331378299120228,F0,0.4,1.0019550342130978,1.48,-5.938416422287389,-9.027999999999999,-0.3176930596285432,-0.518,8.861192570869983,55.337243401759466,-2.7843137254901964,1.6526807619454758,-2.857142857142857,17.428571428571427,48.87585532746819,-1.4800000000000002,,
532.0,390.0,-17.106549364613866,507.0,10.659461969337144,11.48395053950884,12.229922292899289,-12.218963831867047,F0,0.5,1.0019550342130978,1.48,-5.938416422287389,-9.027999999999999,-0.21994134897360684,-0.37,6.32942326490713,92.22873900293244,-2.7843137254901964,1.5704603235621448,-4.0,24.399999999999995,0.0,1.4800000000000002,,
534.0,391.0,-21.994134897360684,507.0,10.659461969337144,11.401304818190908,12.31306054417854,-7.331378299120228,F0,0.6000000000000001,1.0997067448680342,1.628,-5.889540566959921,-8.953999999999999,-0.21994134897360684,-0.37,8.137829912023452,53.70967741935478,-2.8888888888888893,1.6535985748413964,-4.3999999999999995,24.199999999999996,-48.87585532746819,0.0,,
532.0,391.0,-26.881720430107503,506.0,10.659461969337144,11.401304818190908,12.31306054417854,2.4437927663734094,F0,0.7000000000000001,1.0019550342130978,1.48,-5.889540566959921,-8.953999999999999,-0.26881720430107503,-0.44399999999999995,11.93548387096773,-18.264907135874857,-2.7920792079207923,1.6535985748413964,-3.3333333333333335,20.166666666666668,-48.87585532746819,-0.7399999999999995,,
531.0,394.0,-26.881720430107503,506.0,10.659461969337144,11.897885669766652,12.31306054417854,-7.331378299120228,F0,0.8,0.9530791788856297,1.406,-5.7429130009775164,-8.732,-0.26881720430107503,-0.44399999999999995,11.93548387096773,53.70967741935479,-2.7676767676767677,1.6535985748413964,-3.166666666666667,19.666666666666668,0.0,0.0,,
532.0,390.0,-17.106549364613866,505.0,10.659461969337144,11.401304818190908,12.31306054417854,-7.331378299120228,F0,0.9,1.0019550342130978,1.48,-5.938416422287389,-9.027999999999999,-0.3176930596285432,-0.518,8.861192570869983,55.337243401759466,-2.7843137254901964,1.6535985748413964,-2.857142857142857,17.428571428571427,97.75171065493637,-0.7400000000000007,-21.505376344086002,-0.4144
533.0,389.0,-17.106549364613866,506.0,10.659461969337144,11.566642462507161,12.229922292899289,-12.218963831867047,F0,1.0,1.050830889540566,1.5539999999999998,-5.987292277614857,-9.102,-0.26881720430107503,-0.44399999999999995,7.595307917888555,92.22873900293247,-2.823529411764706,1.5704603235621448,-3.5,20.500000000000004,0.0,0.7400000000000007,-21.01661779081132,-0.4144
532.0,391.0,-17.106549364613866,506.0,10.659461969337144,11.48395053950884,12.229922292899289,-17.106549364613866,F0,1.1,1.0019550342130978,1.48,-5.889540566959921,-8.953999999999999,-0.26881720430107503,-0.44399999999999995,7.595307917888555,127.85434995112401,-2.7920792079207923,1.5704603235621448,-3.3333333333333335,20.166666666666668,0.0,0.0,-20.52785923753664,-0.42919999999999997
533.0,389.0,-26.881720430107503,496.0,10.659461969337144,11.81500218683243,12.31306054417854,-2.4437927663734094,F0,1.2000000000000002,1.050830889540566,1.5539999999999998,-5.987292277614857,-9.102,-0.7575757575757569,-1.184,31.827956989247284,18.445747800586496,-2.823529411764706,1.6535985748413964,-1.3125,7.687500000000001,-97.75171065493637,-7.3999999999999995,-21.01661779081132,-0.5105999999999999
532.0,386.0,-17.106549364613866,508.0,10.741721951134707,11.401304818190908,12.229922292899289,-12.218963831867047,F0,1.3,1.0019550342130978,1.48,-6.133919843597262,-9.324,-0.17106549364613866,-0.296,5.063538611925704,95.84555229716511,-2.7547169811320757,1.488200341764582,-5.0,31.5,97.75171065493637,8.879999999999999,-20.52785923753664,-0.5032
